# Benchmark Memory-Bound vs Compute-Bound
# CPU,13th Gen Intel(R) Core(TM) i5-13420H
# CPUs lógicas,12
# Data/hora,20260326_085412

=== MEMORY-BOUND ===
threads,time_s,time_min_s,time_max_s,bandwidth_gbs,speedup,efficiency_pct
1,0.995010,0.302171,2.956745,2.4120,1.0000,100.00
2,0.285700,0.207388,0.526247,8.4000,3.4827,174.14
4,0.158001,0.119513,0.190873,15.1900,6.2975,157.44
8,0.092244,0.091984,0.140486,26.0180,10.7867,134.83
12,0.106099,0.100062,0.164474,22.6200,9.3781,78.15

=== COMPUTE-BOUND ===
threads,time_s,time_min_s,time_max_s,gflops,speedup,efficiency_pct
1,7.018544,6.895803,7.128695,0.142000,1.0000,100.00
2,3.495568,3.456265,3.650561,0.286000,2.0078,100.39
4,1.884831,1.855299,1.947749,0.531000,3.7237,93.09
8,1.251774,1.240896,1.276955,0.799000,5.6069,70.09
12,1.296457,1.259216,1.302423,0.771000,5.4136,45.11
