case,rep,mode,threads,schedule,chunk,collapse,nx,ny,steps,nu,dt,init,u0,stable,elapsed,speedup,efficiency,initial_min,initial_max,initial_l2,initial_sum,final_min,final_max,final_l2,final_sum
seq,1,seq,1,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.916512293,0.9437775495281872,0.9437775495281872,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
seq,2,seq,1,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.864983726,1.0,1.0,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
seq,3,seq,1,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.885924424,0.9763628844259067,0.9763628844259067,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,1,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.910391487,0.9501228189757885,0.9501228189757885,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,1,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.969162652,0.8925062518814437,0.8925062518814437,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,1,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.881074479,0.9817373520814464,0.9817373520814464,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,1,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.884231084,0.9782326607283125,0.9782326607283125,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,1,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.867739401,0.9968243057802557,0.9968243057802557,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,1,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.886026499,0.9762504021902848,0.9762504021902848,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,1,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.86123726,1.0043500974400479,1.0043500974400479,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,1,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.88182011,0.980907235150262,0.980907235150262,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,1,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.871391176,0.9926468729814174,0.9926468729814174,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,1,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.890158212,0.9717190880670098,0.9717190880670098,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,1,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.870860033,0.993252294539506,0.993252294539506,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,1,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.878205452,0.9849446095217363,0.9849446095217363,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,1,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.448672727,0.5970870507041719,0.5970870507041719,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,1,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.533654756,0.5640015933286096,0.5640015933286096,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,1,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.486962371,0.5817119134079285,0.5817119134079285,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,1,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.439149088,0.6010383032671595,0.6010383032671595,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,1,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.487768116,0.5813968700482622,0.5813968700482622,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,1,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.436544749,0.602127936913993,0.602127936913993,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,1,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.678091558,0.5154568127563395,0.5154568127563395,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,1,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.705636311,0.5071325700687431,0.5071325700687431,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,1,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.670695563,0.5177386863030772,0.5177386863030772,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,1,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.436881436,0.6019868475773111,0.6019868475773111,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,1,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.460236576,0.5923586220319412,0.5923586220319412,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,1,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.503320663,0.5753820507421575,0.5753820507421575,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,2,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.597039165,1.448788918227835,0.7243944591139175,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,2,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.631536956,1.3696486290819692,0.6848243145409846,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,2,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.625335777,1.3832308302424219,0.6916154151212109,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,2,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.638963577,1.3537293159356405,0.6768646579678202,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,2,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.568840205,1.5206093352701748,0.7603046676350874,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,2,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.582716367,1.4843992291707846,0.7421996145853923,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,2,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.58347482,1.482469673669894,0.741234836834947,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,2,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.570026683,1.5174442737446379,0.7587221368723189,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,2,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.5739841,1.5069820331260046,0.7534910165630023,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,2,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.596738149,1.4495197390170542,0.7247598695085271,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
