experiment,rep,mode,threads,nx,ny,steps,cells_per_thread,nu,dt,init,u0,schedule,chunk,collapse,elapsed,strong_speedup,strong_efficiency,weak_efficiency,stable,initial_min,initial_max,final_min,final_max,initial_l2,final_l2,initial_sum,final_sum
strong,1,omp-basic,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,6.535384174,0.9978446829405931,0.9978446829405931,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-basic,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,6.521298349,1.0,1.0,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-basic,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,6.532218866,0.9983282071185886,0.9983282071185886,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-basic,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,3.406884957,1.9141527909831328,0.9570763954915664,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-basic,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,3.420092538,1.906760789815799,0.9533803949078995,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-basic,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,3.41786325,1.9080044671184548,0.9540022335592274,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-basic,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.123220343,3.0714185508347875,0.7678546377086969,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-basic,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.135191288,3.0541986498588596,0.7635496624647149,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-basic,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.129135117,3.062886097237764,0.765721524309441,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-basic,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,1.904387664,3.4243544380573137,0.4280443047571642,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-basic,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,1.892843738,3.445238620643074,0.43065482758038426,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-basic,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,1.900474794,3.4314048097814447,0.4289256012226806,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-basic,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,1.784536034,3.6543382844350005,0.22839614277718753,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-basic,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,1.779627163,3.664418303217369,0.22902614395108556,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-basic,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,1.784104683,3.6552218102103375,0.2284513631381461,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
