rep,affinity,affinity_description,mode,threads,nx,ny,steps,cells_per_thread,nu,dt,init,u0,schedule,chunk,collapse,omp_proc_bind,omp_places,gomp_cpu_affinity,allowed_cpus,elapsed,speedup,efficiency,relative_to_best_1t,stable,initial_min,initial_max,final_min,final_max,initial_l2,final_l2,initial_sum,final_sum
1,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.105693007,0.9974084271608893,0.9974084271608893,0.9877896664105066,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.177207438,0.9874701472993709,0.9874701472993709,0.9779472288675962,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.087278086,1.0,1.0,0.9903562467606551,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.717161963,1.9066368795725246,0.9533184397862623,1.8882497439888926,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.747389513,1.8912573836836695,0.9456286918418347,1.8730185641633352,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.686663387,1.9224098709394866,0.9612049354697433,1.9038706245192654,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.193255682,3.231396204357354,0.8078490510893385,3.200233416743976,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.190027316,3.236159674457686,0.8090399186144215,3.2049509491140973,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.194006346,3.2302906046380233,0.8075726511595058,3.1991384791555197,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.832695797,3.867132831101266,0.4833916038876582,3.829839156334356,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
