rep,version,processes,n,steps,elapsed_max,elapsed_mean,sum_total,rank,local_n,rank_time,local_sum
1,send_recv,2,100000,2000,0.024800138,0.024798907000000002,980.561916,1,50000,0.024797676,0.0
1,send_recv,2,100000,2000,0.024800138,0.024798907000000002,980.561916,0,50000,0.024800138,980.561916
2,send_recv,2,100000,2000,0.024899597,0.0248924595,980.561916,0,50000,0.024899597,980.561916
2,send_recv,2,100000,2000,0.024899597,0.0248924595,980.561916,1,50000,0.024885322,0.0
3,send_recv,2,100000,2000,0.026504074,0.0264994975,980.561916,1,50000,0.026494921,0.0
3,send_recv,2,100000,2000,0.026504074,0.0264994975,980.561916,0,50000,0.026504074,980.561916
1,send_recv,2,1000000,2000,0.312064193,0.3120494095,980.561916,0,500000,0.312034626,980.561916
1,send_recv,2,1000000,2000,0.312064193,0.3120494095,980.561916,1,500000,0.312064193,0.0
2,send_recv,2,1000000,2000,0.333607449,0.3335931735,980.561916,1,500000,0.333607449,0.0
2,send_recv,2,1000000,2000,0.333607449,0.3335931735,980.561916,0,500000,0.333578898,980.561916
3,send_recv,2,1000000,2000,0.311324662,0.311323329,980.561916,0,500000,0.311324662,980.561916
3,send_recv,2,1000000,2000,0.311324662,0.311323329,980.561916,1,500000,0.311321996,0.0
1,send_recv,4,100000,2000,0.017386381,0.01732987625,980.561916,2,25000,0.01730822,0.0
1,send_recv,4,100000,2000,0.017386381,0.01732987625,980.561916,0,25000,0.017386381,980.561916
1,send_recv,4,100000,2000,0.017386381,0.01732987625,980.561916,1,25000,0.017311759,0.0
1,send_recv,4,100000,2000,0.017386381,0.01732987625,980.561916,3,25000,0.017313145,0.0
2,send_recv,4,100000,2000,0.015059403,0.01505059225,980.561916,1,25000,0.015046905,0.0
2,send_recv,4,100000,2000,0.015059403,0.01505059225,980.561916,3,25000,0.015049056,0.0
2,send_recv,4,100000,2000,0.015059403,0.01505059225,980.561916,0,25000,0.015047005,980.561916
2,send_recv,4,100000,2000,0.015059403,0.01505059225,980.561916,2,25000,0.015059403,0.0
3,send_recv,4,100000,2000,0.016663934,0.01664935725,980.561916,3,25000,0.01664003,0.0
3,send_recv,4,100000,2000,0.016663934,0.01664935725,980.561916,1,25000,0.016642343,0.0
3,send_recv,4,100000,2000,0.016663934,0.01664935725,980.561916,0,25000,0.016651122,980.561916
3,send_recv,4,100000,2000,0.016663934,0.01664935725,980.561916,2,25000,0.016663934,0.0
