rep,max,tasks,processes,workers,primes,seq_time,elapsed,speedup,efficiency,worker_tasks
1,300000,8,2,1,25997,0.011348963,0.007478468,1.5175518568776385,1.5175518568776385,w1:8
2,300000,8,2,1,25997,0.011348963,0.007431379,1.5271678378938822,1.5271678378938822,w1:8
3,300000,8,2,1,25997,0.011348963,0.007495681,1.5140669673642728,1.5140669673642728,w1:8
1,300000,8,4,3,25997,0.011348963,0.002950966,3.845846749843949,1.2819489166146496,w1:3 w2:3 w3:2
2,300000,8,4,3,25997,0.011348963,0.002971505,3.81926431219197,1.27308810406399,w1:3 w2:3 w3:2
3,300000,8,4,3,25997,0.011348963,0.003042343,3.730336454502336,1.243445484834112,w1:3 w2:3 w3:2
1,300000,32,2,1,25997,0.011348963,0.007480869,1.5170647955471483,1.5170647955471483,w1:32
2,300000,32,2,1,25997,0.011348963,0.007472558,1.5187520792745939,1.5187520792745939,w1:32
3,300000,32,2,1,25997,0.011348963,0.007417381,1.530049892273297,1.530049892273297,w1:32
1,300000,32,4,3,25997,0.011348963,0.002620182,4.331364386138063,1.4437881287126875,w1:11 w2:11 w3:10
2,300000,32,4,3,25997,0.011348963,0.002597498,4.369190274641213,1.4563967582137376,w1:11 w2:11 w3:10
3,300000,32,4,3,25997,0.011348963,0.002598965,4.3667240613090215,1.455574687103007,w1:11 w2:11 w3:10
1,300000,128,2,1,25997,0.011348963,0.007547949,1.5035823638977952,1.5035823638977952,w1:128
2,300000,128,2,1,25997,0.011348963,0.007536745,1.5058175644790954,1.5058175644790954,w1:128
3,300000,128,2,1,25997,0.011348963,0.00756388,1.5004155274806052,1.5004155274806052,w1:128
1,300000,128,4,3,25997,0.011348963,0.002529525,4.486598472045147,1.495532824015049,w1:43 w2:43 w3:42
2,300000,128,4,3,25997,0.011348963,0.002613218,4.342907097685688,1.4476356992285628,w1:43 w2:43 w3:42
3,300000,128,4,3,25997,0.011348963,0.002527929,4.489431071837856,1.4964770239459522,w1:43 w2:43 w3:42
1,1000000,8,2,1,78498,0.049915075,0.039045056,1.2783968090607938,1.2783968090607938,w1:8
2,1000000,8,2,1,78498,0.049915075,0.039067787,1.2776529932447929,1.2776529932447929,w1:8
3,1000000,8,2,1,78498,0.049915075,0.038832629,1.2853900517526125,1.2853900517526125,w1:8
1,1000000,8,4,3,78498,0.049915075,0.015499904,3.2203473647320657,1.0734491215773552,w1:3 w2:3 w3:2
2,1000000,8,4,3,78498,0.049915075,0.01559897,3.1998955700280214,1.0666318566760071,w1:3 w2:3 w3:2
3,1000000,8,4,3,78498,0.049915075,0.015514545,3.217308338723437,1.0724361129078124,w1:3 w2:3 w3:2
1,1000000,32,2,1,78498,0.049915075,0.038887441,1.2835782894533996,1.2835782894533996,w1:32
2,1000000,32,2,1,78498,0.049915075,0.038900862,1.2831354482581903,1.2831354482581903,w1:32
3,1000000,32,2,1,78498,0.049915075,0.038840514,1.2851291051400608,1.2851291051400608,w1:32
1,1000000,32,4,3,78498,0.049915075,0.013609319,3.6677129105431363,1.2225709701810454,w1:11 w2:11 w3:10
2,1000000,32,4,3,78498,0.049915075,0.013666432,3.652385275103261,1.2174617583677536,w1:11 w2:11 w3:10
3,1000000,32,4,3,78498,0.049915075,0.013637848,3.660040425732858,1.220013475244286,w1:11 w2:11 w3:10
1,1000000,128,2,1,78498,0.049915075,0.039015451,1.2793668590425882,1.2793668590425882,w1:128
2,1000000,128,2,1,78498,0.049915075,0.03901737,1.2793039356573752,1.2793039356573752,w1:128
3,1000000,128,2,1,78498,0.049915075,0.039094219,1.276789159031416,1.276789159031416,w1:128
1,1000000,128,4,3,78498,0.049915075,0.013232225,3.7722359618280374,1.2574119872760126,w1:43 w2:43 w3:42
2,1000000,128,4,3,78498,0.049915075,0.013293727,3.7547841173509884,1.2515947057836627,w1:43 w2:43 w3:42
3,1000000,128,4,3,78498,0.049915075,0.013223326,3.7747745915059494,1.2582581971686497,w1:43 w2:43 w3:42
