version,rep,m,n,processes,cols_per_process,seq_time,elapsed,speedup,efficiency,checksum
cols_vector,1,1000,1000,1,1000,0.000874043,0.002338924,0.37369448515642234,0.37369448515642234,307461.923077
cols_vector,2,1000,1000,1,1000,0.000874043,0.002541403,0.34392144811350267,0.34392144811350267,307461.923077
cols_vector,3,1000,1000,1,1000,0.000874043,0.002421067,0.36101561832035217,0.36101561832035217,307461.923077
cols_resized,1,1000,1000,1,1000,0.000874043,0.002337867,0.3738634404780084,0.3738634404780084,307461.923077
cols_resized,2,1000,1000,1,1000,0.000874043,0.002375297,0.3679720893850327,0.3679720893850327,307461.923077
cols_resized,3,1000,1000,1,1000,0.000874043,0.002535672,0.3446987623004868,0.3446987623004868,307461.923077
cols_vector,1,1000,1000,2,500,0.000874043,0.002238515,0.3904566196786709,0.19522830983933545,307461.923077
cols_vector,2,1000,1000,2,500,0.000874043,0.002351469,0.37170083892239275,0.18585041946119638,307461.923077
cols_vector,3,1000,1000,2,500,0.000874043,0.002219913,0.393728492963463,0.1968642464817315,307461.923077
cols_resized,1,1000,1000,2,500,0.000874043,0.002214524,0.39468662340078503,0.19734331170039252,307461.923077
cols_resized,2,1000,1000,2,500,0.000874043,0.002178316,0.4012471101529806,0.2006235550764903,307461.923077
cols_resized,3,1000,1000,2,500,0.000874043,0.002184042,0.400195142767401,0.2000975713837005,307461.923077
cols_vector,1,1000,1000,4,250,0.000874043,0.002095333,0.41713799190868467,0.10428449797717117,307461.923077
cols_vector,2,1000,1000,4,250,0.000874043,0.002198356,0.3975893804279198,0.09939734510697995,307461.923077
cols_vector,3,1000,1000,4,250,0.000874043,0.002104222,0.4153758491261853,0.10384396228154633,307461.923077
cols_resized,1,1000,1000,4,250,0.000874043,0.002066849,0.4228867227359135,0.10572168068397837,307461.923077
cols_resized,2,1000,1000,4,250,0.000874043,0.00216504,0.40370755274729336,0.10092688818682334,307461.923077
cols_resized,3,1000,1000,4,250,0.000874043,0.002140169,0.40839905633620527,0.10209976408405132,307461.923077
cols_vector,1,2000,2000,1,2000,0.002706051,0.010203818,0.26519984970331695,0.26519984970331695,1230001.153846
cols_vector,2,2000,2000,1,2000,0.002706051,0.010300309,0.26271551659275466,0.26271551659275466,1230001.153846
cols_vector,3,2000,2000,1,2000,0.002706051,0.010366643,0.2610344544516484,0.2610344544516484,1230001.153846
cols_resized,1,2000,2000,1,2000,0.002706051,0.010137962,0.2669225826650366,0.2669225826650366,1230001.153846
cols_resized,2,2000,2000,1,2000,0.002706051,0.010283649,0.26314112821236896,0.26314112821236896,1230001.153846
cols_resized,3,2000,2000,1,2000,0.002706051,0.010202836,0.2652253745919272,0.2652253745919272,1230001.153846
cols_vector,1,2000,2000,2,1000,0.002706051,0.009067832,0.2984231512008604,0.1492115756004302,1230001.153846
